2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0005,0.0057,9.7906'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.2847,0.4622,-0.1426'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '18.332,-5.6059,38.2693'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0007,-0.0088,9.8008'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.0196,0.2874,0.1681'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '22.4339,-4.5366,38.8481'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0046,0.0034,9.797'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.1711,0.0451,0.1196'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '21.0432,-6.0238,40.4189'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0016,0.0041,9.8043'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.7305,-0.8356,-0.303'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.5705,-4.9765,39.1477'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0027,0.0026,9.8067'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.2485,0.8394,-0.0087'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.857,-5.4883,39.4063'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0044,-0.0074,9.8026'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.8138,0.5045,-0.7359'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '21.1467,-4.4038,38.6561'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0036,0.0016,9.8134'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.9769,-0.7329,-0.2431'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '18.3788,-3.8561,39.051'
2026-06-03 15:00:28 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0048,0.0108,9.7959'
