2026-06-03 14:38:26 | INFO     | biot.__main__ | Starting uvicorn on 0.0.0.0:8001
2026-06-03 14:38:26 | INFO     | biot.app.main | Starting BioT Sensor Assistant — Settings(provider='openai', model='gpt-4.1', db=..\BioT_Speech_IoT_LLM_App\data\sensor_database.db, mcp=http://localhost:8002/mcp, mqtt=172.20.10.2:1883, server=0.0.0.0:8001)
2026-06-03 14:38:26 | INFO     | biot.app.main | Probing API key (provider=openai, model=gpt-4.1) …
2026-06-03 14:38:29 | INFO     | biot.app.main | API key OK (provider=openai, model=gpt-4.1)
2026-06-03 14:38:29 | INFO     | biot.database.db_context | DbContext initialised (WAL, schema ready): ..\BioT_Speech_IoT_LLM_App\data\sensor_database.db
2026-06-03 14:38:29 | INFO     | biot.app.main | Recomputing rollup tables from existing raw data...
2026-06-03 14:38:29 | INFO     | biot.database.sensor_repository | recompute_all_rollups complete
2026-06-03 14:38:29 | INFO     | biot.app.main | Rollup tables ready
2026-06-03 14:38:30 | INFO     | biot.seeding.seeder | Seeded accel_data: 86400 rows (id 782208–868607)
2026-06-03 14:38:30 | INFO     | biot.seeding.seeder | Seeded gyro_data: 86400 rows (id 782208–868607)
2026-06-03 14:38:31 | INFO     | biot.seeding.seeder | Seeded magnet_data: 86400 rows (id 782207–868606)
2026-06-03 14:38:31 | INFO     | biot.seeding.seeder | Recomputing all rollup tables after seed...
2026-06-03 14:38:32 | INFO     | biot.database.sensor_repository | recompute_all_rollups complete
2026-06-03 14:38:32 | INFO     | biot.seeding.seeder | Rollup tables ready
2026-06-03 14:38:32 | INFO     | biot.app.main | Starting MCP sensor server on port 8002
2026-06-03 14:38:33 | INFO     | biot.__main__ | Starting BioT Sensor MCP Server on port 8002
2026-06-03 14:38:36 | INFO     | biot.app.main | MCP server ready at http://localhost:8002/mcp (attempt 1)
2026-06-03 14:38:36 | DEBUG    | biot.app.agent | SensorAgent init (provider=openai, model=gpt-4.1, mcp=http://localhost:8002/mcp)
2026-06-03 14:38:36 | INFO     | biot.app.providers | Creating LLM provider: openai (model=gpt-4.1)
2026-06-03 14:38:36 | INFO     | biot.app.agent | SensorAgent ready
2026-06-03 14:38:36 | INFO     | biot.app.main | Agent ready (provider=openai, model=gpt-4.1, mcp=http://localhost:8002/mcp)
2026-06-03 14:38:36 | INFO     | biot.mcp_server.mqtt_subscriber | SensorMqttSubscriber configured (broker=172.20.10.2:1883)
2026-06-03 14:38:36 | INFO     | biot.mcp_server.mqtt_subscriber | Connecting to MQTT broker at 172.20.10.2:1883 (client_id=biot-llm-subscriber-de514a33)
2026-06-03 14:38:36 | INFO     | biot.mcp_server.mqtt_subscriber | SensorMqttSubscriber started in background thread
2026-06-03 14:38:36 | INFO     | biot.app.main | MQTT subscriber running (broker=172.20.10.2:1883)
2026-06-03 14:38:36 | INFO     | biot.mcp_server.mqtt_subscriber | Connected to MQTT broker — subscribing to sensor topics
2026-06-03 14:38:36 | DEBUG    | biot.mcp_server.mqtt_subscriber | Subscribed: Sensor/Bewegung
2026-06-03 14:38:36 | DEBUG    | biot.mcp_server.mqtt_subscriber | Subscribed: Sensor/Gyro
2026-06-03 14:38:36 | DEBUG    | biot.mcp_server.mqtt_subscriber | Subscribed: Sensor/Magnet
2026-06-03 14:38:36 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780490316783 x=0.015 y=0.009 z=9.806
2026-06-03 14:38:36 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780490316789 x=-0.818 y=-0.189 z=0.287
2026-06-03 14:38:36 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780490316793 x=20.233 y=-3.356 z=39.176
2026-06-03 14:38:36 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780490316796 x=0.016 y=0.005 z=9.792
2026-06-03 14:38:36 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780490316799 x=-0.081 y=0.179 z=0.002
2026-06-03 14:38:36 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780490316802 x=18.235 y=-5.820 z=39.819
2026-06-03 14:38:36 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780490316805 x=0.013 y=0.000 z=9.816
2026-06-03 14:38:36 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780490316829 x=0.447 y=0.235 z=-0.316
2026-06-03 14:38:36 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780490316833 x=20.785 y=-4.117 z=39.775
2026-06-03 14:38:36 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780490316836 x=0.017 y=-0.004 z=9.807
2026-06-03 14:38:36 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780490316840 x=-0.473 y=-0.069 z=0.186
2026-06-03 14:38:36 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780490316844 x=21.148 y=-5.950 z=41.473
2026-06-03 14:38:36 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780490316847 x=0.014 y=0.002 z=9.803
2026-06-03 14:38:36 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780490316850 x=-0.489 y=0.664 z=-0.652
2026-06-03 14:38:36 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780490316852 x=19.579 y=-5.500 z=39.181
